
  
   Name                                | Table size | Index size | Total size | Estimated row count | Seq scans 
   public.messages                     | 8192 bytes | 48 kB      | 56 kB      | 0                   | 37        
   public.structured_capture_responses | 8192 bytes | 48 kB      | 56 kB      | 0                   | 6         
   public.child_daily_goals            | 8192 bytes | 48 kB      | 56 kB      | 0                   | 45        
   public.communication_analytics      | 8192 bytes | 48 kB      | 56 kB      | 1                   | 4         
   public.el_child_avatars             | 16 kB      | 32 kB      | 48 kB      | 1                   | 50        
   public.achievement_badges           | 16 kB      | 32 kB      | 48 kB      | 20                  | 86        
   public.reading_ranks                | 16 kB      | 32 kB      | 48 kB      | 5                   | 52        
   public.lead_status_history          | 16 kB      | 32 kB      | 48 kB      | 0                   | 92        
   public.group_class_certificates     | 8192 bytes | 40 kB      | 48 kB      | 0                   | 71        
   public.time_buckets                 | 16 kB      | 32 kB      | 48 kB      | 5                   | 31        
   public.child_artifacts              | 8192 bytes | 40 kB      | 48 kB      | 0                   | 5         
   public.referral_credit_transactions | 8192 bytes | 40 kB      | 48 kB      | 0                   | 143       
   public.coach_scores                 | 8192 bytes | 40 kB      | 48 kB      | 0                   | 91        
   public.el_stages                    | 16 kB      | 32 kB      | 48 kB      | 3                   | 53        
   public.testimonials                 | 16 kB      | 32 kB      | 48 kB      | 5                   | 5962      
   public.whatsapp_templates           | 16 kB      | 32 kB      | 48 kB      | 8                   | 121       
   public.quiz_bank                    | 16 kB      | 32 kB      | 48 kB      | 2                   | 99        
   public.session_activity_log         | 16 kB      | 32 kB      | 48 kB      | 6                   | 3         
   public.support_tickets              | 8192 bytes | 40 kB      | 48 kB      | 0                   | 85        
   public.el_game_engines              | 16 kB      | 32 kB      | 48 kB      | 5                   | 51        
   public.coach_groups                 | 16 kB      | 32 kB      | 48 kB      | 5                   | 409       
   public.el_badges                    | 16 kB      | 32 kB      | 48 kB      | 12                  | 51        
   public.agreement_config             | 16 kB      | 32 kB      | 48 kB      | 27                  | 308       
   public.nps_responses                | 8192 bytes | 40 kB      | 48 kB      | 0                   | 123       
   public.session_incidents            | 8192 bytes | 32 kB      | 40 kB      | 0                   | 248       
   public.proactive_notifications      | 8192 bytes | 32 kB      | 40 kB      | 0                   | 108       
   public.processed_webhooks           | 8192 bytes | 32 kB      | 40 kB      | 0                   | 42        
   public.group_class_waitlist         | 8192 bytes | 32 kB      | 40 kB      | 0                   | 91        
   public.session_notes                | 8192 bytes | 32 kB      | 40 kB      | 0                   | 96        
   public.coupon_usages                | 8192 bytes | 32 kB      | 40 kB      | 0                   | 155       
   public.recall_reconciliation_logs   | 8192 bytes | 32 kB      | 40 kB      | 0                   | 4         
   public.el_child_gamification        | 8192 bytes | 32 kB      | 40 kB      | 2                   | 50        
   public.el_game_sessions             | 8192 bytes | 32 kB      | 40 kB      | 0                   | 52        
   public.session_holds                | 8192 bytes | 32 kB      | 40 kB      | 0                   | 60        
   public.coach_assignment_status      | 8192 bytes | 32 kB      | 40 kB      | 0                   | 63        
   public.communication_preferences    | 8192 bytes | 24 kB      | 32 kB      | 0                   | 4         
   public.payment_retry_tokens         | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.el_child_badges              | 8192 bytes | 24 kB      | 32 kB      | 0                   | 51        
   public.season_roadmaps              | 8192 bytes | 24 kB      | 32 kB      | 0                   | 4         
   public.season_learning_plans        | 8192 bytes | 24 kB      | 32 kB      | 0                   | 4         
   public.xp_levels                    | 16 kB      | 16 kB      | 32 kB      | 10                  | 59        
   public.wcpm_benchmarks              | 16 kB      | 16 kB      | 32 kB      | 15                  | 80        
   public.reading_goals                | 16 kB      | 16 kB      | 32 kB      | 0                   | 280       
   public.book_collection_items        | 0 bytes    | 32 kB      | 32 kB      | 0                   | 70        
   public.enrollment_terminations      | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.referral_visits              | 8192 bytes | 24 kB      | 32 kB      | 0                   | 243       
   public.micro_assessments            | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.parent_communications        | 16 kB      | 16 kB      | 32 kB      | 0                   | 800       
   public.referral_conversions         | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.el_worksheets                | 16 kB      | 16 kB      | 32 kB      | 3                   | 51        
   public.age_band_config              | 16 kB      | 16 kB      | 32 kB      | 3                   | 878       
   public.rai_chat_feedback            | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.quiz_attempts                | 8192 bytes | 24 kB      | 32 kB      | 0                   | 96        
   public.curriculum_template          | 16 kB      | 16 kB      | 32 kB      | 25                  | 101       
   public.system_schedule_defaults     | 16 kB      | 16 kB      | 32 kB      | 7                   | 32        
   public.parent_calls                 | 16 kB      | 16 kB      | 32 kB      | 1                   | 14        
   public.session_duration_rules       | 16 kB      | 16 kB      | 32 kB      | 6                   | 33        
   public.elearning_sessions           | 8192 bytes | 24 kB      | 32 kB      | 0                   | 3         
   public.termination_logs             | 16 kB      | 16 kB      | 32 kB      | 0                   | 295       
   public.parent_daily_tasks           | 8192 bytes | 24 kB      | 32 kB      | 0                   | 4         
   public.child_game_progress          | 8192 bytes | 24 kB      | 32 kB      | 0                   | 47        
   public.el_child_identity            | 8192 bytes | 16 kB      | 24 kB      | 0                   | 50        
   public.cron_logs                    | 8192 bytes | 16 kB      | 24 kB      | 0                   | 52        
   public.coach_specializations        | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.el_child_video_progress      | 0 bytes    | 24 kB      | 24 kB      | 0                   | 52        
   public.failed_payments              | 8192 bytes | 16 kB      | 24 kB      | 0                   | 16        
   public.pending_assessments          | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.re_enrollment_nudges         | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.video_watch_sessions         | 8192 bytes | 16 kB      | 24 kB      | 0                   | 67        
   public.coach_triggered_assessments  | 8192 bytes | 16 kB      | 24 kB      | 0                   | 60        
   public.coach_reassignment_log       | 8192 bytes | 16 kB      | 24 kB      | 0                   | 2         
   public.scheduling_queue             | 8192 bytes | 16 kB      | 24 kB      | 0                   | 3         
   public.phone_backup_20260117        | 16 kB      | 0 bytes    | 16 kB      | 17                  | 22        
   public.coach_earnings               | 0 bytes    | 16 kB      | 16 kB      | 0                   | 265       
   public.session_change_requests      | 8192 bytes | 8192 bytes | 16 kB      | 0                   | 19        

